Format Version,1.23,Take Name,Take 2025-07-31 09.46.21 AM,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2025-07-31 09.46.22.302 AM,Total Frames in Take,1181,Total Exported Frames,1181,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Ball,Ball,Ball,Ball,Ball,Ball
,ID,"CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395","CF199A9F6DD111F05A805CBF6EB0E395"
,,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
271,4.516667,11.825801,-68.156433,15.068420,0.831071,0.928218,0.186014
272,4.533333,10.509074,-67.486206,13.892678,0.829313,0.928359,0.184855
273,4.550000,11.836066,-66.225800,14.989260,0.828635,0.929080,0.182418
274,4.566667,11.339604,-65.621025,14.257167,0.827171,0.928755,0.181109
275,4.583333,12.169366,-64.468803,14.821056,0.826739,0.929518,0.179205
276,4.600000,11.837377,-63.445717,13.928462,0.825561,0.929409,0.176836
277,4.616667,11.277617,-62.668030,12.605156,0.823719,0.929607,0.174348
278,4.633333,10.744110,-61.832973,12.361176,0.822641,0.929914,0.173393
279,4.650000,10.525346,-61.095997,12.009116,0.821516,0.929817,0.171683
280,4.666667,10.542288,-60.155449,12.106149,0.820227,0.929967,0.170082
281,4.683333,10.540569,-59.319748,12.121030,0.819171,0.930062,0.168578
282,4.700000,10.023901,-58.464390,12.209335,0.818204,0.930723,0.167775
283,4.716667,9.808718,-57.220684,13.223871,0.817884,0.931905,0.167587
284,4.733333,9.796171,-56.602337,12.656024,0.816385,0.931913,0.165766
285,4.750000,9.752610,-55.393269,13.097509,0.815972,0.931907,0.164970
286,4.766667,9.909208,-54.723476,12.824109,0.814703,0.931956,0.163190
287,4.783333,9.096150,-53.786591,11.389051,0.812736,0.931198,0.161414
288,4.800000,9.618119,-53.335953,11.794589,0.811822,0.931859,0.160589
289,4.816667,9.358025,-52.091583,11.296991,0.810283,0.932149,0.158617
290,4.833333,8.488166,-51.517124,10.968171,0.809166,0.932830,0.158368
291,4.850000,8.271454,-50.689617,10.691247,0.808071,0.933791,0.157249
292,4.866667,8.093513,-49.737621,9.817927,0.805851,0.934895,0.155650
293,4.883333,8.052338,-49.177067,9.098640,0.804193,0.936503,0.153878
294,4.900000,8.352440,-48.280289,8.979288,0.803015,0.938133,0.152513
295,4.916667,8.460227,-47.394909,10.152763,0.802636,0.940290,0.153095
296,4.933333,7.832895,-46.850044,9.296577,0.800693,0.942098,0.152317
297,4.950000,7.589432,-45.740044,9.151731,0.799586,0.942978,0.151763
298,4.966667,7.682075,-45.112057,8.411016,0.797667,0.943472,0.150231
299,4.983333,8.185766,-44.282902,8.004674,0.795995,0.944842,0.148534
300,5.000000,7.968405,-43.421329,8.309093,0.794956,0.946502,0.148436
301,5.016667,6.966043,-42.709965,7.894721,0.793586,0.947212,0.149187
302,5.033333,7.573760,-41.865543,8.352775,0.792508,0.947758,0.148515
303,5.050000,7.924053,-41.018673,8.661156,0.791592,0.948850,0.147826
304,5.066667,7.734771,-40.196621,8.326426,0.789887,0.949186,0.147561
305,5.083333,7.066137,-39.698315,8.157113,0.788399,0.949830,0.148252
306,5.100000,7.803124,-38.997612,8.650279,0.787453,0.950674,0.147359
307,5.116667,7.528456,-37.885876,9.536104,0.786968,0.951370,0.148404
308,5.133333,7.045214,-37.126762,9.155281,0.785133,0.951520,0.148725
309,5.150000,7.370052,-36.367550,9.101177,0.783918,0.951739,0.148492
310,5.166667,7.665319,-35.860630,7.781321,0.781238,0.951548,0.146951
311,5.183333,7.597205,-34.939819,8.285200,0.780369,0.951030,0.147912
312,5.200000,7.242216,-34.364796,7.684710,0.778389,0.951361,0.148266
313,5.216667,7.286603,-33.485542,7.860197,0.777006,0.951466,0.148699
314,5.233333,6.841912,-32.572021,7.983427,0.776004,0.950891,0.149807
315,5.250000,6.103120,-31.874290,8.006901,0.774621,0.950995,0.151530
316,5.266667,6.185886,-31.368164,7.267481,0.772296,0.949788,0.150804
317,5.283333,5.591228,-30.506153,6.821555,0.769736,0.948813,0.151033
318,5.300000,5.208911,-29.736698,7.644005,0.769368,0.948341,0.152655
